title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    The Wind Rises  ,2013,PG-13,126," Animation, Biography, Drama            ",7.8,83,    Hayao Miyazaki  ,      Hideaki Anno,   Hidetoshi Nishijima,   Miori Takimoto,   Masahiko Nishimura  ,74711,5210000
    The Big Short  ,2015,R,130," Biography, Comedy, Drama            ",7.8,81,    Adam McKay  ,      Christian Bale,   Steve Carell,   Ryan Gosling,   Brad Pitt  ,369737,70260000
    Straight Outta Compton  ,2015,R,147," Biography, Drama, History            ",7.8,72,    F. Gary Gray  ,      O    Shea Jackson Jr.,     Corey Hawkins,     Jason Mitchell,     Neil Brown Jr.    ,180311,161200000
    The White Ri  on  ,2009,R,144," Drama, History, Mystery            ",7.8,82,    Michael Haneke  ,      Christian Friedel,   Ernst Jaco i,   Leonie Benesch,   Ulrich Tukur  ,69088,2220000
    The Trial of the Chicago 7  ,2020,R,129," Drama, History, Thriller            ",7.8,77,    Aaron Sorkin  ,      Eddie Redmayne,   Alex Sharp,   Sacha Baron Cohen,   Jeremy Strong  ,109098,0
    The Boy in the Striped Pajamas  ,2008,PG-13,94," Drama, History, War            ",7.8,0,    Mark Herman  ,         Asa Butterfield,     David Thewlis,     Rupert Friend,  Zac Mattoon O    Brien ,192217,9030000
    Frost/Nixon  ,2008,R,122," Biography, Drama, History            ",7.7,80,    Ron Howard  ,      Frank Langella,   Michael Sheen,   Kevin Bacon,   Sam Rockwell  ,103742,18590000
    Changeling  ,2008,R,141," Biography, Crime, Drama            ",7.7,63,    Clint Eastwood  ,      Angelina Jolie,   Colm Feore,   Amy Ryan,   Gattlin Griffith  ,240495,35740000
    The Last King of Scotland  ,2006,R,123," Biography, Drama, History            ",7.7,74,    Kevin Macdonald  ,      James McAvoy,   Forest Whitaker,   Gillian Anderson,   Kerry Washington  ,176277,17610000
    Joyeux Noel  ,2005,PG-13,116," Drama, History, Music            ",7.7,70,    Christian Carion  ,      Diane Kruger,   Benno Frmann,   Guillaume Canet,   Natalie Dessay  ,28104,1050000
