title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    Orphan  ,2009,R,123," Horror, Mystery, Thriller            ",7.0,0,    Jaume Collet-Serra  ,      Vera Farmiga,   Peter Sarsgaard,   Isa elle Fuhrman,   CCH Pounder  ,192877,41600000
    Planet Terror  ,2007,R,105," Action, Adventure, Comedy            ",7.0,0,    Ro ert Rodriguez  ,      Rose McGowan,   Freddy Rodrguez,   Josh Brolin,   Marley Shelton  ,200675,0
    Cloverfield  ,2008,PG-13,85," Action, Horror, Sci-Fi            ",7.0,64,    Matt Reeves  ,      Mike Vogel,   Jessica Lucas,   Lizzy Caplan,   T.J. Miller  ,374519,80050000
    Death Proof  ,2007,TV-MA,127," Action, Adventure, Thriller            ",7.0,0,    Quentin Tarantino  ,      Kurt Russell,   Zo Bell,   Rosario Dawson,   Vanessa Ferlito  ,270035,0
    Traitor  ,2008,PG-13,114," Action, Crime, Drama            ",7.0,61,    Jeffrey Nachmanoff  ,      Don Cheadle,   Guy Pearce,   Archie Panja i,   Sad Taghmaoui  ,55776,23530000
    Burn After Reading  ,2008,R,96," Comedy, Crime, Drama            ",7.0,63,    Ethan Coen   ,       Brad Pitt,   Frances McDormand,   George Clooney,   John Malkovich    ,311672,60360000
    Jack Reacher  ,2012,PG-13,130," Action, Thriller            ",7.0,0,    Christopher McQuarrie  ,      Tom Cruise,   Rosamund Pike,   Richard Jenkins,   Werner Herzog  ,311328,80070000
    Ram o  ,2008,R,92," Action, Thriller            ",7.0,0,    Sylvester Stallone  ,      Sylvester Stallone,   Julie Benz,   Matthew Marsden,   Graham McTavish  ,218980,42750000
    The Kingdom  ,2007,R,110," Action, Drama, Thriller            ",7.0,0,    Peter Berg  ,      Jamie Foxx,   Chris Cooper,   Jennifer Garner,   Jason Bateman  ,118267,47540000
    The Lookout  ,2007,R,99," Crime, Drama, Thriller            ",7.0,73,    Scott Frank  ,      Joseph Gordon-Levitt,   Jeff Daniels,   Matthew Goode,   Isla Fisher  ,56782,4600000
    Breach  ,2007,PG-13,110," Biography, Crime, Drama            ",7.0,74,    Billy Ray  ,      Chris Cooper,   Ryan Phillippe,   Dennis Hays ert,   Laura Linney  ,58031,33230000
    New Police Story  ,2004,R,123," Action, Crime, Drama            ",7.0,0,    Benny Chan  ,      Jackie Chan,   Nicholas Tse,   Charlie Yeung,   Daniel Wu  ,25097,0
    Main Hoon Na  ,2004,Not Rated,182," Action, Comedy, Drama            ",7.0,0,    Farah Khan  ,      Shah Rukh Khan,   Sushmita Sen,   Sunil Shetty,   Zayed Khan  ,32469,1720000
    Unleashed  ,2005,R,103," Action, Adventure, Crime            ",7.0,0,    Louis Leterrier  ,      Jet Li,   Bo  Hoskins,   Morgan Freeman,   Kerry Condon  ,98848,24520000
    Wicker Park  ,2004,PG-13,114," Drama, Mystery, Romance            ",7.0,0,    Paul McGuigan  ,      Josh Hartnett,   Diane Kruger,   Matthew Lillard,   Rose Byrne  ,52997,12830000
    Underworld  ,2003,R,121," Action, Fantasy, Thriller            ",7.0,0,    Len Wiseman  ,      Kate Beckinsale,   Scott Speedman,   Shane Brolly,   Michael Sheen  ,253993,51970000
    The Italian Jo   ,2003,PG-13,111," Action, Crime, Thriller            ",7.0,68,    F. Gary Gray  ,      Donald Sutherland,   Mark Wahl erg,   Edward Norton,   Charlize Theron  ,343916,106130000
    Koroshiya 1  ,2001,R,129," Action, Comedy, Crime            ",7.0,0,    Takashi Miike  ,         Tadano u Asano,     Nao Ohmori,  Shin    ya Tsukamoto,     Paulyn Sun    ,52533,20000
    The Last Castle  ,2001,R,131," Action, Drama, Thriller            ",7.0,0,    Rod Lurie  ,      Ro ert Redford,   James Gandolfini,   Mark Ruffalo,   Steve Burton  ,72793,18210000
    Confessions of a Dangerous Mind  ,2002,R,113," Biography, Comedy, Crime            ",7.0,67,    George Clooney  ,      Sam Rockwell,   Drew Barrymore,   George Clooney,   Julia Ro erts  ,84097,16000000
    The Quiet American  ,2002,R,101," Drama, Romance, Thriller            ",7.0,84,    Phillip Noyce  ,      Michael Caine,   Brendan Fraser,   Thi Hai Yen Do,   Rade Ser edzija  ,27268,12990000
    Brotherhood of the Wolf  ,2001,R,142," Action, Adventure, Drama            ",7.0,0,    Christophe Gans  ,      Samuel Le Bihan,   Mark Dacascos,   Jrmie Renier,   Vincent Cassel  ,63135,11260000
    Phone Booth  ,2002,R,81," Crime, Thriller            ",7.0,0,    Joel Schumacher  ,      Colin Farrell,   Kiefer Sutherland,   Forest Whitaker,   Radha Mitchell  ,251813,46570000
    Boiler Room  ,2000,R,120," Crime, Drama, Thriller            ",7.0,63,    Ben Younger  ,      Giovanni Ri isi,   Vin Diesel,   Nia Long,   Nicky Katt  ,49698,16940000
    Dragged Across Concrete  ,2018,R,159," Action, Crime, Drama            ",6.9,0,    S. Craig Zahler  ,      Mel Gi son,   Vince Vaughn,   Tory Kittles,   Michael Jai White  ,38886,0
    I Don' t Feel at Home in This World Anymore.  ,2017,TV-MA,93," Comedy, Crime, Drama            ",6.9,75,    Macon Blair  ,      Melanie Lynskey,   Chris Dou ek,   Marilyn Faith Hickey,   Jared Roylance  ,49896,0
    Every ody Knows  ,2018,R,133," Crime, Drama, Mystery            ",6.9,68,    Asghar Farhadi  ,      Penlope Cruz,   Javier Bardem,   Ricardo Darn,   Eduard Fernndez  ,29853,2660000
    Widows  ,2018,R,129," Crime, Drama, Thriller            ",6.9,84,    Steve McQueen  ,      Viola Davis,   Michelle Rodriguez,   Eliza eth De icki  ,,88400,42400000
    Legend  ,2015,R,132," Biography, Crime, Drama            ",6.9,0,    Brian Helgeland  ,      Tom Hardy,   Emily Browning,   Taron Egerton,   Paul Anderson  ,160312,1870000
    Slow West  ,2015,R,84," Action, Adventure, Drama            ",6.9,72,    John Maclean  ,      Kodi Smit-McPhee,   Caren Pistorius,   Aorere Paki,   Jeffrey Thomas  ,43034,230000
    Game Night  ,2018,R,100," Action, Comedy, Crime            ",6.9,66,    John Francis Daley   ,       Jason Bateman,   Rachel McAdams,   Kyle Chandler,   Sharon Horgan    ,209514,69180000
    Joe  ,2013,R,117," Crime, Drama, Thriller            ",6.9,74,    David Gordon Green  ,      Nicolas Cage,   Tye Sheridan,   Gary Poulter,   Ronnie Gene Blevins  ,45940,370000
    Enemy  ,2013,R,91," Drama, Mystery, Thriller            ",6.9,61,    Denis Villeneuve  ,      Jake Gyllenhaal,   Mlanie Laurent,   Sarah Gadon,   Isa ella Rossellini  ,170287,1010000
    Non-Stop  ,2014,PG-13,106," Action, Mystery, Thriller            ",6.9,0,    Jaume Collet-Serra  ,      Liam Neeson,   Julianne Moore,   Scoot McNairy,   Michelle Dockery  ,251210,92170000
    La or Day  ,2013,PG-13,111," Drama, Romance, Thriller            ",6.9,0,    Jason Reitman  ,      Kate Winslet,   Josh Brolin,   Gattlin Griffith,   Clark Gregg  ,43103,13360000
    The Hitman' s Bodyguard  ,2017,R,118," Action, Comedy, Crime            ",6.9,0,    Patrick Hughes  ,      Ryan Reynolds,   Samuel L. Jackson,   Gary Oldman,   Elodie Yung  ,188823,75470000
    Trance  ,2013,R,101," Crime, Drama, Mystery            ",6.9,61,    Danny Boyle  ,      James McAvoy,   Rosario Dawson,   Vincent Cassel,   Danny Sapani  ,110095,2320000
    The Highwaymen  ,2019,R,132," Biography, Crime, Drama            ",6.9,0,    John Lee Hancock  ,      Kevin Costner,   Woody Harrelson,   Kathy Bates,   John Carroll Lynch  ,77027,0
    What Happened to Monday  ,2017,TV-MA,123," Action, Adventure, Crime            ",6.9,0,    Tommy Wirkola  ,      Noomi Rapace,   Glenn Close,   Willem Dafoe,   Marwan Kenzari  ,108025,0
    Trust  ,2010,R,106," Crime, Drama, Thriller            ",6.9,0,    David Schwimmer  ,      Clive Owen,   Catherine Keener,   Liana Li erato,   Jason Clarke  ,41302,120000
    Anonymous  ,2011,PG-13,130," Drama, Thriller            ",6.9,0,    Roland Emmerich  ,      Rhys Ifans,   Vanessa Redgrave,   David Thewlis,   Se astian Armesto  ,39361,4460000
    Martha Marcy May Marlene  ,2011,R,102," Drama, Mystery, Thriller            ",6.9,75,    Sean Durkin  ,      Eliza eth Olsen,   Sarah Paulson,   John Hawkes,   Christopher A  ott  ,49617,2980000
