title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    Her ie Fully Loaded  ,2005,G,101," Adventure, Comedy, Family            ",4.8,0,    Angela Ro inson  ,      Lindsay Lohan,   Michael Keaton,   Cheryl Hines,   Breckin Meyer  ,45349,66020000
    Are We There Yet?  ,2005,PG,95," Adventure, Comedy, Family            ",4.7,0,    Brian Levant  ,      Ice Cu e,   Nia Long,   Aleisha Allen,   Philip Bolden  ,29794,82670000
    Confessions of a Teenage Drama Queen  ,2004,PG,89," Comedy, Family, Music            ",4.7,0,    Sara Sugarman  ,      Lindsay Lohan,   Megan Fox,   Adam Garcia,   Glenne Headly  ,27607,29330000
    Dr. Dolittle 2  ,2001,PG,87," Comedy, Family, Fantasy            ",4.7,0,    Steve Carr  ,      Eddie Murphy,   Cedric the Entertainer,   Kristen Wilson,   Raven-Symon  ,42029,112950000
    Alvin and the Chipmunks: The Squeakquel  ,2009,PG,88," Animation, Adventure, Comedy            ",4.5,0,    Betty Thomas  ,      Jason Lee,   Zachary Levi,   David Cross,   Justin Long  ,44146,219610000
    Hannah Montana: The Movie  ,2009,G,102," Comedy, Drama, Family            ",4.5,0,    Peter Chelsom  ,      Miley Cyrus,   Emily Osment,   Billy Ray Cyrus,   Jason Earles  ,39984,79570000
    Paul Blart: Mall Cop 2  ,2015,PG,94," Action, Comedy, Crime            ",4.4,0,    Andy Fickman  ,      Kevin James,   Raini Rodriguez,   Eduardo Verstegui,   Daniella Alonso  ,34602,71040000
    Kangaroo Jack  ,2003,PG,89," Action, Adventure, Comedy            ",4.4,0,    David McNally  ,         Anthony Anderson,  Jerry O    Connell,     Estella Warren,     Christopher Walken    ,29892,66930000
    Alvin and the Chipmunks: Chipwrecked  ,2011,G,87," Animation, Adventure, Comedy            ",4.3,0,    Mike Mitchell  ,      Justin Long,   Matthew Gray Gu ler,   Jesse McCartney,   Jason Lee  ,31803,133110000
    Spy Kids 3-D: Game Over  ,2003,PG,84," Action, Adventure, Comedy            ",4.3,0,    Ro ert Rodriguez  ,      Daryl Sa ara,   Alexa PenaVega,   Antonio Banderas,   Carla Gugino  ,55566,111760000
    A Wrinkle in Time  ,2018,PG,109," Adventure, Family, Fantasy            ",4.2,0,    Ava DuVernay  ,      Storm Reid,   Oprah Winfrey,   Reese Witherspoon,   Mindy Kaling  ,41548,100480000
    The Last Air ender  ,2010,PG,103," Action, Adventure, Family            ",4.0,0,    M. Night Shyamalan  ,      Noah Ringer,   Nicola Peltz,   Jackson Rath one,   Dev Patel  ,153580,131560000
    The Cat in the Hat  ,2003,PG,82," Adventure, Comedy, Family            ",4.0,0,    Bo Welch  ,      Mike Myers,   Spencer Breslin,   Dakota Fanning,   Alec Baldwin  ,52908,101150000
    The Adventures of Shark oy and Lavagirl 3-D  ,2005,PG,93," Action, Adventure, Comedy            ",3.6,0,    Ro ert Rodriguez  ,      Cayden Boyd,   George Lopez,   Kristin Davis,   David Arquette  ,33671,39180000
    Vampires Suck  ,2010,PG-13,82," Comedy, Family, Horror            ",3.4,0,    Jason Fried erg   ,       Jenn Proske,   Matt Lanter,   Diedrich Bader,   Chris Riggi    ,46724,36660000
    The Emoji Movie  ,2017,PG,86," Animation, Adventure, Comedy            ",3.3,0,    Tony Leondis  ,      T.J. Miller,   James Corden,   Anna Faris,   Maya Rudolph  ,56671,86090000
    Cats  ,2019,PG,110," Comedy, Drama, Family            ",2.7,0,    Tom Hooper  ,      James Corden,   Judi Dench,   Jason Derulo,   Idris El a  ,43178,0
    Son of the Mask  ,2005,PG,94," Comedy, Family, Fantasy            ",2.2,0,    Lawrence Guterman  ,      Jamie Kennedy,   Traylor Howard,   Alan Cumming,   Liam Falconer  ,52756,17020000
    Super a ies: Ba y Geniuses 2  ,2004,PG,88," Comedy, Family, Sci-Fi            ",1.9,0,    Bo  Clark  ,      Jon Voight,   Scott Baio,   Vanessa Angel,   Skyler Shaye  ,29795,9110000
