title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
The Trial of the Chicago 7,2020),R,129," Drama, History, Thriller            ",7.8,77        ,Aaron Sorkin,"['Eddie Redmayne, ', 'Alex Sharp, ', 'Sacha Baron Cohen, ', 'Jeremy Strong', '']",109098,0
The Boy in the Striped Pajamas,2008),PG-13,94," Drama, History, War            ",7.8,0,Mark Herman,"['Asa Butterfield, ', 'David Thewlis, ', 'Rupert Friend, ', ""Zac Mattoon O'Brien"", '']",192217,$9.03M
Tombstone,1993),R,130," Action, Biography, Drama            ",7.8,0,"George P. Cosmatos, ","['    Stars:', 'Kurt Russell, ', 'Val Kilmer, ', 'Sam Elliott, ', 'Bill Paxton']",127968,$56.51M
Glory,1989),R,122," Biography, Drama, History            ",7.8,78        ,Edward Zwick,"['Matthew Broderick, ', 'Denzel Washington, ', 'Cary Elwes, ', 'Morgan Freeman', '']",124066,$26.83M
Mississippi Burning,1988),R,128," Crime, Drama, History            ",7.8,65        ,Alan Parker,"['Gene Hackman, ', 'Willem Dafoe, ', 'Frances McDormand, ', 'Brad Dourif', '']",89119,$34.60M
The Killing Fields,1984),R,141," Biography, Drama, History            ",7.8,76        ,Roland Joffé,"['Sam Waterston, ', 'Haing S. Ngor, ', 'John Malkovich, ', 'Julian Sands', '']",51941,$34.70M
The Right Stuff,1983),PG,193," Adventure, Biography, Drama            ",7.8,91        ,Philip Kaufman,"['Sam Shepard, ', 'Scott Glenn, ', 'Ed Harris, ', 'Dennis Quaid', '']",56496,$21.50M
The Man Who Would Be King,1975),PG,129," Adventure, History, War            ",7.8,91        ,John Huston,"['Sean Connery, ', 'Michael Caine, ', 'Christopher Plummer, ', 'Saeed Jaffrey', '']",45323,0
The Longest Day,1962),G,178," Action, Drama, History            ",7.8,75        ,"Ken Annakin, ","['Bernhard Wicki, ', 'Darryl F. Zanuck', '| ', '    Stars:', 'John Wayne, ']",52345,$39.10M
Frost/Nixon,2008),R,122," Biography, Drama, History            ",7.7,80        ,Ron Howard,"['Frank Langella, ', 'Michael Sheen, ', 'Kevin Bacon, ', 'Sam Rockwell', '']",103742,$18.59M
Changeling,2008),R,141," Biography, Crime, Drama            ",7.7,63        ,Clint Eastwood,"['Angelina Jolie, ', 'Colm Feore, ', 'Amy Ryan, ', 'Gattlin Griffith', '']",240495,$35.74M
The Last King of Scotland,2006),R,123," Biography, Drama, History            ",7.7,74        ,Kevin Macdonald,"['James McAvoy, ', 'Forest Whitaker, ', 'Gillian Anderson, ', 'Kerry Washington', '']",176277,$17.61M
Joyeux Noel,2005),PG-13,116," Drama, History, Music            ",7.7,70        ,Christian Carion,"['Diane Kruger, ', 'Benno Fürmann, ', 'Guillaume Canet, ', 'Natalie Dessay', '']",28104,$1.05M
Black Hawk Down,2001),R,144," Drama, History, War            ",7.7,74        ,Ridley Scott,"['Josh Hartnett, ', 'Ewan McGregor, ', 'Tom Sizemore, ', 'Eric Bana', '']",366139,$108.64M
Malcolm X,1992),PG-13,202," Biography, Drama, History            ",7.7,73        ,Spike Lee,"['Denzel Washington, ', 'Angela Bassett, ', 'Delroy Lindo, ', 'Spike Lee', '']",86830,$48.17M
The Last Emperor,1987),PG-13,163," Biography, Drama, History            ",7.7,76        ,Bernardo Bertolucci,"['John Lone, ', 'Joan Chen, ', ""Peter O'Toole, "", 'Ruocheng Ying', '']",95181,$43.98M
Empire of the Sun,1987),PG,153," Action, Drama, History            ",7.7,62        ,Steven Spielberg,"['Christian Bale, ', 'John Malkovich, ', 'Miranda Richardson, ', 'Nigel Havers', '']",116602,$22.24M
A Man for All Seasons,1966),G,120," Biography, Drama, History            ",7.7,72        ,Fred Zinnemann,"['Paul Scofield, ', 'Wendy Hiller, ', 'Robert Shaw, ', 'Leo McKern', '']",31565,$28.35M
Zulu,1964),Not Rated,138," Drama, History, War            ",7.7,77        ,Cy Endfield,"['Stanley Baker, ', 'Jack Hawkins, ', 'Ulla Jacobsson, ', 'James Booth', '']",36273,0
Dark Waters,2019),PG-13,126," Biography, Drama, History            ",7.6,73        ,Todd Haynes,"['Mark Ruffalo, ', 'Anne Hathaway, ', 'Tim Robbins, ', 'Bill Pullman', '']",63942,0
The Two Popes,2019),PG-13,125," Biography, Comedy, Drama            ",7.6,75        ,Fernando Meirelles,"['Anthony Hopkins, ', 'Jonathan Pryce, ', 'Juan Minujín, ', 'Luis Gnecco', '']",108871,0
The Boy Who Harnessed the Wind,2019),TV-PG,113," Biography, Drama, History            ",7.6,68        ,Chiwetel Ejiofor,"['Chiwetel Ejiofor, ', 'Maxwell Simba, ', 'Felix Lemburo, ', 'Robert Agengo', '']",29809,0
Cold War,2018),R,89," Drama, History, Music            ",7.6,90        ,Pawel Pawlikowski,"['Joanna Kulig, ', 'Tomasz Kot, ', 'Borys Szyc, ', 'Agata Kulesza', '']",49827,$4.57M
Hotel Mumbai,2018),R,123," Action, Drama, History            ",7.6,62        ,Anthony Maras,"['Dev Patel, ', 'Armie Hammer, ', 'Nazanin Boniadi, ', 'Anupam Kher', '']",54232,$9.65M
Bridge of Spies,2015),PG-13,142," Drama, History, Thriller            ",7.6,81        ,Steven Spielberg,"['Tom Hanks, ', 'Mark Rylance, ', 'Alan Alda, ', 'Amy Ryan', '']",289978,$72.31M
Les Misérables,2012),PG-13,158," Drama, History, Musical            ",7.6,63        ,Tom Hooper,"['Hugh Jackman, ', 'Russell Crowe, ', 'Anne Hathaway, ', 'Amanda Seyfried', '']",310607,$148.81M
The Impossible,2012),PG-13,114," Drama, History, Thriller            ",7.6,73        ,J.A. Bayona,"['Naomi Watts, ', 'Ewan McGregor, ', 'Tom Holland, ', 'Oaklee Pendergast', '']",202661,$19.02M
The Flowers of War,2011),R,146," Drama, History, Romance            ",7.6,0,Yimou Zhang,"['Christian Bale, ', 'Ni Ni, ', 'Xinyi Zhang, ', 'Tianyuan Huang', '']",49941,$0.01M
The Counterfeiters,2007),R,99," Crime, Drama, History            ",7.6,78        ,Stefan Ruzowitzky,"['Karl Markovics, ', 'August Diehl, ', 'Devid Striesow, ', 'Martin Brambach', '']",43393,$5.48M
Jodhaa Akbar,2008),Not Rated,213," Action, Drama, History            ",7.6,69        ,Ashutosh Gowariker,"['Hrithik Roshan, ', 'Aishwarya Rai Bachchan, ', 'Sonu Sood, ', 'Poonam Sinha', '']",30094,$3.44M
Sophie Scholl: The Final Days,2005),Not Rated,120," Biography, Crime, Drama            ",7.6,76        ,Marc Rothemund,"['Julia Jentsch, ', 'Fabian Hinrichs, ', 'Alexander Held, ', 'Johanna Gastdorf', '']",26574,$0.68M
Enemy at the Gates,2001),R,131," Drama, History, War            ",7.6,0,Jean-Jacques Annaud,"['Jude Law, ', 'Ed Harris, ', 'Joseph Fiennes, ', 'Rachel Weisz', '']",245068,$51.40M
Apollo 13,I) (1995),PG,140," Adventure, Drama, History            ",7.6,77        ,Ron Howard,"['Tom Hanks, ', 'Bill Paxton, ', 'Kevin Bacon, ', 'Gary Sinise', '']",271410,$173.84M
Gettysburg,1993),PG,271," Drama, History, War            ",7.6,0,Ron Maxwell,"['Tom Berenger, ', 'Martin Sheen, ', 'Stephen Lang, ', 'Richard Jordan', '']",26156,$10.77M
The Favourite,2018),R,119," Biography, Comedy, Drama            ",7.5,91        ,Yorgos Lanthimos,"['Olivia Colman, ', 'Emma Stone, ', 'Rachel Weisz, ', 'Nicholas Hoult', '']",175010,$34.37M
Ip Man 2,2010),R,108," Action, Biography, Drama            ",7.5,67        ,Wilson Yip,"['Donnie Yen, ', 'Xiaoming Huang, ', 'Sammo Kam-Bo Hung, ', 'Lynn Xiong', '']",98445,$0.21M
A Royal Affair,2012),R,137," Biography, Drama, History            ",7.5,73        ,Nikolaj Arcel,"['Alicia Vikander, ', 'Mads Mikkelsen, ', 'Mikkel Boe Følsgaard, ', 'Trine Dyrholm', '']",44549,$1.55M
Selma,2014),PG-13,128," Biography, Drama, History            ",7.5,80        ,Ava DuVernay,"['David Oyelowo, ', 'Carmen Ejogo, ', 'Oprah Winfrey, ', 'Tom Wilkinson', '']",87066,$52.08M
"Lust, Caution",2007),NC-17,157," Drama, History, Romance            ",7.5,61        ,Ang Lee,"['Tony Chiu-Wai Leung, ', 'Tang Wei, ', 'Joan Chen, ', 'Leehom Wang', '']",37640,$4.60M
United 93,2006),R,111," Action, Drama, History            ",7.5,90        ,Paul Greengrass,"['David Alan Basche, ', 'Olivia Thirlby, ', 'Liza Colón-Zayas, ', 'J.J. Johnson', '']",98841,$31.57M
The Assassination of Jesse James by the Coward Robert Ford,2007),R,160," Biography, Crime, Drama            ",7.5,68        ,Andrew Dominik,"['Brad Pitt, ', 'Casey Affleck, ', 'Sam Shepard, ', 'Mary-Louise Parker', '']",170368,$3.90M
Munich,2005),R,164," Action, Drama, History            ",7.5,74        ,Steven Spielberg,"['Eric Bana, ', 'Daniel Craig, ', 'Marie-Josée Croze, ', 'Ciarán Hinds', '']",213426,$47.40M
Miracle,2004),PG,135," Biography, Drama, History            ",7.5,68        ,Gavin O'Connor,"['Kurt Russell, ', 'Patricia Clarkson, ', 'Nathan West, ', 'Noah Emmerich', '']",48544,$64.38M
Les Misérables,1998),PG-13,134," Crime, Drama, History            ",7.5,0,Bille August,"['Liam Neeson, ', 'Geoffrey Rush, ', 'Uma Thurman, ', 'Christopher Adamson', '']",38209,$14.10M
Quiz Show,1994),PG-13,133," Biography, Drama, History            ",7.5,92        ,Robert Redford,"['Ralph Fiennes, ', 'John Turturro, ', 'Rob Morrow, ', 'Paul Scofield', '']",65113,$24.82M
Henry V,1989),PG-13,137," Action, Biography, Drama            ",7.5,83        ,Kenneth Branagh,"['Kenneth Branagh, ', 'Derek Jacobi, ', 'Simon Shepherd, ', 'James Larkin', '']",28332,$10.16M
Tora! Tora! Tora!,1970),G,144," Action, Drama, History            ",7.5,0,"Richard Fleischer, ","['Akira Kurosawa', '| ', '    Stars:', 'Martin Balsam, ', 'Sô Yamamura, ']",31886,$29.55M
Patriots Day,2016),R,133," Action, Crime, Drama            ",7.4,69        ,Peter Berg,"['Mark Wahlberg, ', 'Michelle Monaghan, ', 'J.K. Simmons, ', 'John Goodman', '']",93249,$31.89M
Darkest Hour,2017),PG-13,125," Biography, Drama, History            ",7.4,75        ,Joe Wright,"['Gary Oldman, ', 'Lily James, ', 'Kristin Scott Thomas, ', 'Ben Mendelsohn', '']",174214,$56.47M
Zero Dark Thirty,2012),R,157," Drama, History, Thriller            ",7.4,95        ,Kathryn Bigelow,"['Jessica Chastain, ', 'Joel Edgerton, ', 'Chris Pratt, ', 'Mark Strong', '']",274079,$95.72M
Eddie the Eagle,2015),PG-13,106," Biography, Comedy, Drama            ",7.4,0,Dexter Fletcher,"['Taron Egerton, ', 'Hugh Jackman, ', 'Tom Costello, ', 'Jo Hartley', '']",86450,$15.79M
The Baader Meinhof Complex,2008),R,150," Action, Biography, Crime            ",7.4,76        ,Uli Edel,"['Martina Gedeck, ', 'Moritz Bleibtreu, ', 'Johanna Wokalek, ', 'Bruno Ganz', '']",36189,$0.48M
"Good Night, and Good Luck.",2005),PG,93," Biography, Drama, History            ",7.4,80        ,George Clooney,"['David Strathairn, ', 'George Clooney, ', 'Patricia Clarkson, ', 'Jeff Daniels', '']",94415,$31.50M
Red Cliff,2008),R,148," Action, Adventure, Drama            ",7.4,73        ,John Woo,"['Tony Chiu-Wai Leung, ', 'Takeshi Kaneshiro, ', 'Fengyi Zhang, ', 'Chen Chang', '']",43904,$0.63M
Master and Commander: The Far Side of the World,2003),PG-13,138," Action, Adventure, Drama            ",7.4,81        ,Peter Weir,"['Russell Crowe, ', 'Paul Bettany, ', 'Billy Boyd, ', ""James D'Arcy"", '']",204092,$93.93M
Elizabeth,1998),R,124," Biography, Drama, History            ",7.4,75        ,Shekhar Kapur,"['Cate Blanchett, ', 'Liz Giles, ', 'Rod Culbertson, ', 'Paul Fox', '']",93573,$30.08M
The Mission,1986),PG,125," Adventure, Drama, History            ",7.4,0,Roland Joffé,"['Robert De Niro, ', 'Jeremy Irons, ', 'Ray McAnally, ', 'Aidan Quinn', '']",56144,$17.22M
Gallipoli,1981),PG,110," Adventure, Drama, History            ",7.4,65        ,Peter Weir,"['Mel Gibson, ', 'Mark Lee, ', 'Bill Kerr, ', 'Harold Hopkins', '']",37034,$5.73M
A Bridge Too Far,1977),PG,175," Drama, History, War            ",7.4,63        ,Richard Attenborough,"['Sean Connery, ', ""Ryan O'Neal, "", 'Michael Caine, ', 'Laurence Olivier', '']",52543,$50.80M
Jesus Christ Superstar,1973),G,106," Drama, History, Musical            ",7.4,64        ,Norman Jewison,"['Ted Neeley, ', 'Carl Anderson, ', 'Yvonne Elliman, ', 'Barry Dennen', '']",25334,$24.48M
Detroit,2017),R,143," Crime, Drama, History            ",7.3,77        ,Kathryn Bigelow,"['John Boyega, ', 'Anthony Mackie, ', 'Algee Smith, ', 'Jacob Latimore', '']",48762,$16.79M
13 Hours,2016),R,144," Action, Drama, History            ",7.3,0,Michael Bay,"['John Krasinski, ', 'Pablo Schreiber, ', 'James Badge Dale, ', 'David Denman', '']",120914,$52.85M
Woman in Gold,2015),PG-13,109," Biography, Drama, History            ",7.3,0,Simon Curtis,"['Helen Mirren, ', 'Ryan Reynolds, ', 'Daniel Brühl, ', 'Katie Holmes', '']",54284,$33.31M
