title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
When Marnie Was There,2014),PG,103," Animation, Drama, Family            ",7.7,72        ,"James Simone, ","['    Stars:', 'Sara Takatsuki, ', 'Kasumi Arimura, ', 'Nanako Matsushima, ', 'Susumu Terajima']",33467,$0.77M
Wreck-It Ralph,2012),PG,101," Animation, Adventure, Comedy            ",7.7,72        ,Rich Moore,"['John C. Reilly, ', 'Jack McBrayer, ', 'Jane Lynch, ', 'Sarah Silverman', '']",382715,$189.42M
The Little Prince,2015),PG,108," Animation, Adventure, Drama            ",7.7,70        ,Mark Osborne,"['Jeff Bridges, ', 'Mackenzie Foy, ', 'Rachel McAdams, ', 'Marion Cotillard', '']",57201,$1.34M
The Lego Movie,2014),PG,100," Animation, Action, Adventure            ",7.7,83        ,"Christopher Miller, ","['    Stars:', 'Chris Pratt, ', 'Will Ferrell, ', 'Elizabeth Banks, ', 'Will Arnett']",325374,$257.76M
Ponyo,2008),G,101," Animation, Adventure, Comedy            ",7.7,86        ,Hayao Miyazaki,"['Cate Blanchett, ', 'Matt Damon, ', 'Liam Neeson, ', 'Tomoko Yamaguchi', '']",126886,$15.09M
Paprika,2006),R,90," Animation, Drama, Fantasy            ",7.7,81        ,Satoshi Kon,"['Megumi Hayashibara, ', 'Tôru Emori, ', 'Katsunosuke Hori, ', 'Tôru Furuya', '']",72214,$0.88M
The Girl Who Leapt Through Time,2006),TV-PG,98," Animation, Adventure, Comedy            ",7.7,0,Mamoru Hosoda,"['Riisa Naka, ', 'Takuya Ishida, ', 'Mitsutaka Itakura, ', 'Ayami Kakiuchi', '']",60861,0
Tangled,2010),PG,100," Animation, Adventure, Comedy            ",7.7,71        ,"Nathan Greno, ","['    Stars:', 'Mandy Moore, ', 'Zachary Levi, ', 'Donna Murphy, ', 'Ron Perlman']",408688,$200.82M
Coraline,2009),PG,100," Animation, Drama, Family            ",7.7,80        ,Henry Selick,"['Dakota Fanning, ', 'Teri Hatcher, ', 'John Hodgman, ', 'Jennifer Saunders', '']",199165,$75.29M
Vampire Hunter D: Bloodlust,2000),R,103," Animation, Action, Fantasy            ",7.7,62        ,Yoshiaki Kawajiri,"['Andrew Philpot, ', 'John Rafter Lee, ', 'Pamela Adlon, ', 'Wendee Lee', '']",29398,$0.15M
"South Park: Bigger, Longer & Uncut",1999),R,81," Animation, Comedy, Fantasy            ",7.7,73        ,Trey Parker,"['Trey Parker, ', 'Matt Stone, ', 'Mary Kay Bergman, ', 'Isaac Hayes', '']",192746,$52.04M
Porco Rosso,1992),PG,94," Animation, Adventure, Comedy            ",7.7,83        ,Hayao Miyazaki,"['Shûichirô Moriyama, ', 'Tokiko Katô, ', 'Bunshi Katsura Vi, ', 'Tsunehiko Kamijô', '']",78946,0
Who Framed Roger Rabbit,1988),PG,104," Animation, Adventure, Comedy            ",7.7,83        ,Robert Zemeckis,"['Bob Hoskins, ', 'Christopher Lloyd, ', 'Joanna Cassidy, ', 'Charles Fleischer', '']",183017,$156.45M
Lupin the 3rd: Castle of Cagliostro,1979),PG-13,102," Animation, Adventure, Family            ",7.7,71        ,Hayao Miyazaki,"['Yasuo Yamada, ', 'Eiko Masuyama, ', 'Kiyoshi Kobayashi, ', 'Makio Inoue', '']",27382,0
Fantasia,1940),G,125," Animation, Family, Fantasy            ",7.7,96        ,"James Algar, ","['Norman Ferguson, ', 'David Hand, ', 'Jim Handley, ', 'T. Hee, ', 'Wilfred Jackson, ']",89188,$76.41M
I Lost My Body,2019),TV-MA,81," Animation, Drama, Fantasy            ",7.6,81        ,Jérémy Clapin,"['Hakim Faris, ', 'Victoire Du Bois, ', ""Patrick d'Assumçao, "", 'Alfonso Arfi', '']",27211,0
Incredibles 2,2018),PG,118," Animation, Action, Adventure            ",7.6,80        ,Brad Bird,"['Craig T. Nelson, ', 'Holly Hunter, ', 'Sarah Vowell, ', 'Huck Milner', '']",253470,$608.58M
Moana,I) (2016),PG,107," Animation, Adventure, Comedy            ",7.6,81        ,"Ron Clements, ","['Chris Williams', '| ', '    Stars:', ""Auli'i Cravalho, "", 'Dwayne Johnson, ']",276538,$248.76M
The Secret World of Arrietty,2010),G,94," Animation, Adventure, Family            ",7.6,80        ,Hiromasa Yonebayashi,"['Amy Poehler, ', 'Will Arnett, ', 'Mirai Shida, ', 'Ryûnosuke Kamiki', '']",81991,$19.20M
Despicable Me,2010),PG,95," Animation, Comedy, Crime            ",7.6,72        ,"Pierre Coffin, ","['    Stars:', 'Steve Carell, ', 'Jason Segel, ', 'Russell Brand, ', 'Julie Andrews']",503538,$251.51M
5 Centimeters Per Second,2007),TV-PG,63," Animation, Drama, Family            ",7.6,0,Makoto Shinkai,"['Kenji Mizuhashi, ', 'Yoshimi Kondou, ', 'Satomi Hanamura, ', 'Ayaka Onoue', '']",51777,0
The Secret of Kells,2009),Not Rated,75," Animation, Adventure, Family            ",7.6,81        ,"Tomm Moore, ","['    Stars:', 'Evan McGuire, ', 'Brendan Gleeson, ', 'Mick Lally, ', 'Christen Mooney']",32216,$0.69M
