title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
Derailed,I) (2005),R,108," Crime, Drama, Thriller            ",6.6,0,Mikael Håfström,"['Clive Owen, ', 'Jennifer Aniston, ', 'Vincent Cassel, ', 'Addison Timlin', '']",70978,$36.02M
Hostage,2005),R,113," Action, Crime, Drama            ",6.6,0,Florent-Emilio Siri,"['Bruce Willis, ', 'Kevin Pollak, ', 'Serena Scott Thomas, ', 'Jimmy Bennett', '']",107037,$34.64M
Kiss of the Dragon,2001),R,98," Action, Crime, Drama            ",6.6,0,Chris Nahon,"['Jet Li, ', 'Bridget Fonda, ', 'Tchéky Karyo, ', 'Ric Young', '']",61043,$36.85M
Rush Hour 2,2001),PG-13,90," Action, Comedy, Crime            ",6.6,0,Brett Ratner,"['Jackie Chan, ', 'Chris Tucker, ', 'John Lone, ', 'Ziyi Zhang', '']",200822,$226.16M
Bad Boys II,2003),R,147," Action, Comedy, Crime            ",6.6,0,Michael Bay,"['Will Smith, ', 'Martin Lawrence, ', 'Gabrielle Union, ', 'Jordi Mollà', '']",233017,$138.61M
Austin Powers: The Spy Who Shagged Me,1999),PG-13,95," Action, Adventure, Comedy            ",6.6,0,Jay Roach,"['Mike Myers, ', 'Heather Graham, ', 'Michael York, ', 'Robert Wagner', '']",217619,$206.04M
True Crime,1999),R,127," Crime, Drama, Mystery            ",6.6,65        ,Clint Eastwood,"['Clint Eastwood, ', 'Isaiah Washington, ', 'LisaGay Hamilton, ', 'James Woods', '']",32264,$16.64M
U.S. Marshals,1998),PG-13,131," Action, Crime, Thriller            ",6.6,0,Stuart Baird,"['Tommy Lee Jones, ', 'Wesley Snipes, ', 'Robert Downey Jr., ', 'Joe Pantoliano', '']",96362,$57.17M
Midnight in the Garden of Good and Evil,1997),R,155," Crime, Drama, Mystery            ",6.6,0,Clint Eastwood,"['John Cusack, ', 'Kevin Spacey, ', 'Jack Thompson, ', 'Irma P. Hall', '']",36926,$25.08M
Kiss the Girls,1997),R,115," Crime, Drama, Mystery            ",6.6,0,Gary Fleder,"['Morgan Freeman, ', 'Ashley Judd, ', 'Cary Elwes, ', 'Alex McArthur', '']",66939,$60.53M
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996),R,89," Comedy, Crime            ",6.6,0,Paris Barclay,"['Shawn Wayans, ', 'Marlon Wayans, ', 'Keenen Ivory Wayans, ', 'Tracey Cherelle Jones', '']",48807,$20.11M
