title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
A Series of Unfortunate Events,2004),PG,108," Adventure, Comedy, Family            ",6.8,62        ,Brad Silberling,"['Jim Carrey, ', 'Jude Law, ', 'Meryl Streep, ', 'Liam Aiken', '']",197096,$118.63M
Brother Bear,2003),G,85," Animation, Adventure, Comedy            ",6.8,0,"Aaron Blaise, ","['    Stars:', 'Joaquin Phoenix, ', 'Jeremy Suarez, ', 'Rick Moranis, ', 'Jason Raize']",98071,$85.34M
Peter Pan,2003),PG,113," Adventure, Family, Fantasy            ",6.8,64        ,P.J. Hogan,"['Jeremy Sumpter, ', 'Jason Isaacs, ', 'Olivia Williams, ', 'Lynn Redgrave', '']",66968,$48.46M
Bruce Almighty,2003),PG-13,101," Comedy, Fantasy            ",6.8,0,Tom Shadyac,"['Jim Carrey, ', 'Jennifer Aniston, ', 'Morgan Freeman, ', 'Philip Baker Hall', '']",373367,$242.83M
The Family Man,2000),PG-13,125," Comedy, Drama, Fantasy            ",6.8,0,Brett Ratner,"['Nicolas Cage, ', 'Téa Leoni, ', 'Don Cheadle, ', 'Jeremy Piven', '']",104442,$75.79M
Ginger Snaps,2000),Not Rated,108," Drama, Fantasy, Horror            ",6.8,70        ,John Fawcett,"['Emily Perkins, ', 'Katharine Isabelle, ', 'Kris Lemche, ', 'Mimi Rogers', '']",42374,$0.00M
Hellboy,2004),PG-13,122," Action, Fantasy, Horror            ",6.8,72        ,Guillermo del Toro,"['Ron Perlman, ', 'Doug Jones, ', 'Selma Blair, ', 'John Hurt', '']",307421,$59.62M
Addams Family Values,1993),PG-13,94," Comedy, Fantasy            ",6.8,62        ,Barry Sonnenfeld,"['Anjelica Huston, ', 'Raul Julia, ', 'Christopher Lloyd, ', 'Joan Cusack', '']",82511,$48.92M
Hook,1991),PG,142," Adventure, Comedy, Family            ",6.8,0,Steven Spielberg,"['Dustin Hoffman, ', 'Robin Williams, ', 'Julia Roberts, ', 'Bob Hoskins', '']",236540,$119.65M
All Dogs Go to Heaven,1989),G,84," Animation, Comedy, Drama            ",6.8,0,"Don Bluth, ","['| ', '    Stars:', 'Dom DeLuise, ', 'Burt Reynolds, ', 'Judith Barsi, ']",36573,$27.10M
Mary Poppins Returns,2018),PG,130," Comedy, Family, Fantasy            ",6.7,66        ,Rob Marshall,"['Emily Blunt, ', 'Lin-Manuel Miranda, ', 'Ben Whishaw, ', 'Emily Mortimer', '']",78066,$171.96M
Ferdinand,2017),PG,108," Animation, Adventure, Comedy            ",6.7,0,Carlos Saldanha,"['John Cena, ', 'Kate McKinnon, ', 'Bobby Cannavale, ', 'Jack Gore', '']",49448,$84.41M
Pete's Dragon,2016),PG,102," Action, Adventure, Comedy            ",6.7,71        ,David Lowery,"['Bryce Dallas Howard, ', 'Robert Redford, ', 'Oakes Fegley, ', 'Oona Laurence', '']",54467,$76.23M
Hotel Transylvania 2,2015),PG,89," Animation, Comedy, Family            ",6.7,0,Genndy Tartakovsky,"['Adam Sandler, ', 'Andy Samberg, ', 'Selena Gomez, ', 'Kevin James', '']",108844,$169.70M
The Good Dinosaur,2015),PG,93," Animation, Adventure, Comedy            ",6.7,66        ,Peter Sohn,"['Jeffrey Wright, ', 'Frances McDormand, ', 'Maleah Nipay-Padilla, ', 'Ryan Teeple', '']",103085,$123.09M
King Arthur: Legend of the Sword,2017),PG-13,126," Action, Adventure, Drama            ",6.7,0,Guy Ritchie,"['Charlie Hunnam, ', 'Astrid Bergès-Frisbey, ', 'Jude Law, ', 'Djimon Hounsou', '']",193668,$39.18M
Miss Peregrine's Home for Peculiar Children,2016),PG-13,127," Adventure, Drama, Family            ",6.7,0,Tim Burton,"['Eva Green, ', 'Asa Butterfield, ', 'Samuel L. Jackson, ', 'Judi Dench', '']",156892,$87.24M
Rare Exports,2010),R,84," Adventure, Fantasy, Horror            ",6.7,71        ,Jalmari Helander,"['Jorma Tommila, ', 'Onni Tommila, ', 'Peeter Jakobi, ', 'Tommi Korpela', '']",27029,$0.26M
If I Stay,2014),PG-13,107," Drama, Fantasy, Music            ",6.7,0,R.J. Cutler,"['Chloë Grace Moretz, ', 'Mireille Enos, ', 'Jamie Blackley, ', 'Joshua Leonard', '']",116467,$50.47M
Om Shanti Om,2007),Not Rated,162," Action, Comedy, Drama            ",6.7,0,Farah Khan,"['Shah Rukh Khan, ', 'Deepika Padukone, ', 'Arjun Rampal, ', 'Kirron Kher', '']",39215,$3.60M
Ghost Town,I) (2008),PG-13,102," Comedy, Drama, Fantasy            ",6.7,72        ,David Koepp,"['Ricky Gervais, ', 'Greg Kinnear, ', 'Téa Leoni, ', 'Jordan Carlos', '']",70320,$13.21M
Epic,2013),PG,102," Animation, Adventure, Family            ",6.7,0,Chris Wedge,"['Amanda Seyfried, ', 'Josh Hutcherson, ', 'Beyoncé, ', 'Colin Farrell', '']",100280,$107.52M
Penelope,2006),PG,104," Comedy, Fantasy, Romance            ",6.7,0,Mark Palansky,"['Christina Ricci, ', 'James McAvoy, ', 'Reese Witherspoon, ', 'Richard E. Grant', '']",60357,$10.01M
Just Like Heaven,2005),PG-13,95," Comedy, Drama, Fantasy            ",6.7,0,Mark Waters,"['Reese Witherspoon, ', 'Mark Ruffalo, ', 'Donal Logue, ', 'Dina Spybey-Waters', '']",99939,$48.32M
Underworld: Evolution,2006),R,106," Action, Fantasy, Thriller            ",6.7,0,Len Wiseman,"['Kate Beckinsale, ', 'Scott Speedman, ', 'Bill Nighy, ', 'Tony Curran', '']",190481,$62.32M
Where the Wild Things Are,2009),PG,101," Adventure, Drama, Family            ",6.7,71        ,Spike Jonze,"['Max Records, ', ""Catherine O'Hara, "", 'Forest Whitaker, ', 'Pepita Emmerichs', '']",101139,$77.23M
The Lovely Bones,2009),PG-13,135," Drama, Fantasy, Thriller            ",6.7,0,Peter Jackson,"['Rachel Weisz, ', 'Mark Wahlberg, ', 'Saoirse Ronan, ', 'Susan Sarandon', '']",158632,$43.82M
