title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
Vivarium,2019),R,97," Comedy, Horror, Mystery            ",5.8,64        ,Lorcan Finnegan,"['Imogen Poots, ', 'Danielle Ryan, ', 'Molly McCann, ', 'Jesse Eisenberg', '']",40615,0
Underwater,2020),PG-13,95," Action, Horror, Sci-Fi            ",5.8,0,William Eubank,"['Kristen Stewart, ', 'Vincent Cassel, ', 'Mamoudou Athie, ', 'T.J. Miller', '']",64914,0
High Life,2018),R,113," Adventure, Drama, Horror            ",5.8,77        ,Claire Denis,"['Robert Pattinson, ', 'Juliette Binoche, ', 'André 3000, ', 'Mia Goth', '']",29574,$1.23M
Morgan,2016),R,92," Action, Horror, Sci-Fi            ",5.8,0,Luke Scott,"['Kate Mara, ', 'Anya Taylor-Joy, ', 'Rose Leslie, ', 'Michael Yare', '']",40043,$3.91M
Underworld: Blood Wars,2016),R,91," Action, Adventure, Fantasy            ",5.8,0,Anna Foerster,"['Kate Beckinsale, ', 'Theo James, ', 'Tobias Menzies, ', 'Lara Pulver', '']",70349,$30.35M
Jigsaw,I) (2017),R,92," Crime, Horror, Mystery            ",5.8,0,"Michael Spierig, ","['    Stars:', 'Matt Passmore, ', 'Tobin Bell, ', 'Callum Keith Rennie, ', 'Hannah Emily Anderson']",69322,$38.05M
V/H/S,2012),R,116," Horror, Sci-Fi, Thriller            ",5.8,0,"Matt Bettinelli-Olpin, ","['Justin Martinez, ', 'Glenn McQuaid, ', 'Radio Silence, ', 'Joe Swanberg, ', 'Chad Villella, ']",57352,$0.10M
Paranormal Activity 3,2011),R,83," Horror, Mystery            ",5.8,0,"Henry Joost, ","['    Stars:', 'Chloe Csengery, ', 'Jessica Tyler Brown, ', 'Christopher Nicholas Smith, ', 'Lauren Bittner']",90611,$104.01M
Final Destination 5,2011),R,92," Action, Fantasy, Horror            ",5.8,0,Steven Quale,"[""Nicholas D'Agosto, "", 'Emma Bell, ', 'Arlen Escarpeta, ', 'Miles Fisher', '']",107392,$42.59M
The Addams Family,2019),PG,86," Animation, Comedy, Family            ",5.8,0,"Greg Tiernan, ","['    Stars:', 'Oscar Isaac, ', 'Charlize Theron, ', 'Chloë Grace Moretz, ', 'Finn Wolfhard']",29300,$100.04M
Rubber,2010),R,82," Comedy, Fantasy, Horror            ",5.8,0,Quentin Dupieux,"['Stephen Spinella, ', 'Roxane Mesquida, ', 'Wings Hauser, ', 'Jack Plotnick', '']",34494,$0.10M
The Divide,2011),R,112," Drama, Horror, Sci-Fi            ",5.8,0,Xavier Gens,"['Lauren German, ', 'Michael Biehn, ', 'Milo Ventimiglia, ', 'Courtney B. Vance', '']",35516,$0.02M
Pride and Prejudice and Zombies,2016),PG-13,108," Action, Comedy, Fantasy            ",5.8,0,Burr Steers,"['Lily James, ', 'Sam Riley, ', 'Jack Huston, ', 'Bella Heathcote', '']",52046,$10.91M
Resident Evil: Afterlife,2010),R,96," Action, Adventure, Horror            ",5.8,0,Paul W.S. Anderson,"['Milla Jovovich, ', 'Ali Larter, ', 'Wentworth Miller, ', 'Kim Coates', '']",162615,$60.13M
Saw V,2008),R,92," Crime, Horror, Mystery            ",5.8,0,David Hackl,"['Scott Patterson, ', 'Costas Mandylor, ', 'Tobin Bell, ', 'Betsy Russell', '']",115805,$56.75M
The Babysitter: Killer Queen,2020),TV-MA,101," Comedy, Horror            ",5.8,0,McG,"['Judah Lewis, ', 'Samara Weaving, ', 'Jenna Ortega, ', 'Emily Alyn Lind', '']",27596,0
The Descent: Part 2,2009),R,94," Action, Adventure, Drama            ",5.8,0,Jon Harris,"['Michael J. Reynolds, ', 'Shauna Macdonald, ', 'Jessika Williams, ', 'Douglas Hodge', '']",44245,0
The Wolfman,2010),R,103," Drama, Fantasy, Horror            ",5.8,0,Joe Johnston,"['Benicio Del Toro, ', 'Anthony Hopkins, ', 'Emily Blunt, ', 'Simon Merrells', '']",102928,$61.98M
Black Sheep,2006),Not Rated,87," Comedy, Horror, Sci-Fi            ",5.8,62        ,Jonathan King,"['Oliver Driver, ', 'Nathan Meister, ', 'Tammy Davis, ', 'Matthew Chamberlain', '']",39166,$0.08M
The Texas Chainsaw Massacre: The Beginning,2006),R,91," Horror, Thriller            ",5.8,0,Jonathan Liebesman,"['Jordana Brewster, ', 'Matt Bomer, ', 'Diora Baird, ', 'Taylor Handley', '']",68024,$39.52M
Final Destination 3,2006),R,93," Action, Crime, Horror            ",5.8,0,James Wong,"['Mary Elizabeth Winstead, ', 'Ryan Merriman, ', 'Kris Lemche, ', 'Alexz Johnson', '']",131575,$54.10M
Cry Wolf,2005),PG-13,90," Drama, Horror, Mystery            ",5.8,0,Jeff Wadlow,"['Julian Morris, ', 'Lindy Booth, ', 'Jared Padalecki, ', 'Erica Yates', '']",26055,$10.05M
Gothika,2003),R,98," Horror, Mystery, Thriller            ",5.8,0,Mathieu Kassovitz,"['Halle Berry, ', 'Penélope Cruz, ', 'Robert Downey Jr., ', 'Charles S. Dutton', '']",106886,$59.69M
Hollow Man,2000),R,112," Action, Horror, Sci-Fi            ",5.8,0,Paul Verhoeven,"['Kevin Bacon, ', 'Elisabeth Shue, ', 'Josh Brolin, ', 'Kim Dickens', '']",124149,$73.21M
End of Days,1999),R,122," Action, Fantasy, Horror            ",5.8,0,Peter Hyams,"['Arnold Schwarzenegger, ', 'Gabriel Byrne, ', 'Robin Tunney, ', 'Kevin Pollak', '']",105782,$66.89M
Halloween H20: 20 Years Later,1998),R,86," Horror, Thriller            ",5.8,0,Steve Miner,"['Jamie Lee Curtis, ', 'Josh Hartnett, ', 'Adam Arkin, ', 'Michelle Williams', '']",66849,$55.04M
The Relic,1997),R,110," Horror, Mystery, Sci-Fi            ",5.8,0,Peter Hyams,"['Penelope Ann Miller, ', 'Tom Sizemore, ', 'Linda Hunt, ', 'James Whitmore', '']",25206,$33.96M
Thinner,1996),R,93," Fantasy, Horror            ",5.8,0,Tom Holland,"['Robert John Burke, ', 'Joe Mantegna, ', 'Lucinda Jenney, ', 'Bethany Joy Lenz', '']",28467,$15.17M
Species,1995),R,108," Action, Horror, Sci-Fi            ",5.8,0,Roger Donaldson,"['Natasha Henstridge, ', 'Michael Madsen, ', 'Ben Kingsley, ', 'Alfred Molina', '']",74624,$60.07M
Jaws 2,1978),PG,116," Adventure, Horror, Thriller            ",5.8,0,Jeannot Szwarc,"['Roy Scheider, ', 'Lorraine Gary, ', 'Murray Hamilton, ', 'Joseph Mascolo', '']",71094,$102.92M
Velvet Buzzsaw,2019),R,113," Horror, Mystery, Thriller            ",5.7,61        ,Dan Gilroy,"['Jake Gyllenhaal, ', 'Rene Russo, ', 'Zawe Ashton, ', 'Tom Sturridge', '']",54828,0
Insidious: The Last Key,2018),PG-13,103," Horror, Mystery, Thriller            ",5.7,0,Adam Robitel,"['Lin Shaye, ', 'Leigh Whannell, ', 'Angus Sampson, ', 'Kirk Acevedo', '']",53127,$67.75M
Eli,I) (2019),R,98," Drama, Horror, Mystery            ",5.7,0,Ciarán Foy,"['Charlie Shotwell, ', 'Kelly Reilly, ', 'Max Martini, ', 'Lili Taylor', '']",29724,0
47 Meters Down,2017),PG-13,89," Adventure, Drama, Horror            ",5.7,0,Johannes Roberts,"['Mandy Moore, ', 'Claire Holt, ', 'Matthew Modine, ', 'Chris Johnson', '']",49446,$44.31M
I Spit on Your Grave 2,2013),R,106," Action, Crime, Horror            ",5.7,0,Steven R. Monroe,"['Jemma Dallender, ', 'Joe Absolom, ', 'Yavor Baharov, ', 'George Zlatarev', '']",27421,$0.00M
The Purge,I) (2013),R,85," Horror, Sci-Fi, Thriller            ",5.7,0,James DeMonaco,"['Ethan Hawke, ', 'Lena Headey, ', 'Max Burkholder, ', 'Adelaide Kane', '']",203775,$64.47M
Would You Rather,2012),Not Rated,93," Horror, Thriller            ",5.7,0,David Guy Levy,"['Brittany Snow, ', 'June Squibb, ', 'Jeffrey Combs, ', 'Jonny Coyne', '']",38103,0
Splice,2009),R,104," Drama, Horror, Sci-Fi            ",5.7,66        ,Vincenzo Natali,"['Adrien Brody, ', 'Sarah Polley, ', 'Delphine Chanéac, ', 'Brandon McGibbon', '']",93987,$17.00M
Pet Sematary,2019),R,101," Horror, Mystery, Thriller            ",5.7,0,"Kevin Kölsch, ","['    Stars:', 'Jason Clarke, ', 'Amy Seimetz, ', 'John Lithgow, ', 'Jeté Laurence']",82777,$54.72M
Priest,2011),PG-13,87," Action, Adventure, Fantasy            ",5.7,0,Scott Stewart,"['Paul Bettany, ', 'Cam Gigandet, ', 'Maggie Q, ', 'Karl Urban', '']",115632,$29.14M
Hatchet,2006),R,93," Comedy, Horror, Thriller            ",5.7,0,Adam Green,"['Kane Hodder, ', 'Joel David Moore, ', 'Deon Richmond, ', 'Amara Zaragoza', '']",29127,$0.16M
Open Water,2003),R,79," Adventure, Drama, Horror            ",5.7,63        ,Chris Kentis,"['Blanchard Ryan, ', 'Daniel Travis, ', 'Saul Stein, ', 'Michael E. Williamson', '']",51208,$30.61M
Club Dread,2004),R,104," Comedy, Horror, Mystery            ",5.7,0,Jay Chandrasekhar,"['Jay Chandrasekhar, ', 'Bill Paxton, ', 'Kevin Heffernan, ', 'Elena Lyons', '']",28457,$4.99M
Freddy vs. Jason,2003),R,97," Action, Horror            ",5.7,0,Ronny Yu,"['Robert Englund, ', 'Ken Kirzinger, ', 'Kelly Rowland, ', 'Monica Keena', '']",111374,$82.62M
Cabin Fever,2002),R,93," Drama, Horror            ",5.7,0,Eli Roth,"['Jordan Ladd, ', 'Rider Strong, ', 'James DeBello, ', 'Cerina Vincent', '']",74297,$21.16M
House on Haunted Hill,1999),R,93," Crime, Fantasy, Horror            ",5.7,0,William Malone,"['Geoffrey Rush, ', 'Famke Janssen, ', 'Taye Diggs, ', 'Peter Gallagher', '']",53663,$40.85M
Lake Placid,1999),R,82," Action, Comedy, Horror            ",5.7,0,Steve Miner,"['Bridget Fonda, ', 'Bill Pullman, ', 'Oliver Platt, ', 'Brendan Gleeson', '']",55356,$31.77M
I Know What You Did Last Summer,1997),R,101," Horror, Mystery            ",5.7,0,Jim Gillespie,"['Jennifer Love Hewitt, ', 'Sarah Michelle Gellar, ', 'Anne Heche, ', 'Ryan Phillippe', '']",134345,$72.59M
Village of the Damned,1995),R,98," Horror, Sci-Fi, Thriller            ",5.7,0,John Carpenter,"['Christopher Reeve, ', 'Kirstie Alley, ', 'Linda Kozlowski, ', 'Michael Paré', '']",28993,$9.42M
Buffy the Vampire Slayer,1992),PG-13,86," Action, Comedy, Fantasy            ",5.7,0,Fran Rubel Kuzui,"['Kristy Swanson, ', 'Donald Sutherland, ', 'Paul Reubens, ', 'Rutger Hauer', '']",40214,$16.62M
A Nightmare on Elm Street 4: The Dream Master,1988),R,93, Horror            ,5.7,0,Renny Harlin,"['Robert Englund, ', 'Rodney Eastman, ', 'John Beckman, ', 'Kisha Brackel', '']",50483,$49.37M
Poltergeist II: The Other Side,1986),PG-13,91, Horror            ,5.7,0,Brian Gibson,"['JoBeth Williams, ', 'Craig T. Nelson, ', ""Heather O'Rourke, "", 'Oliver Robins', '']",25149,$41.00M
Children of the Corn,1984),R,92," Horror, Thriller            ",5.7,0,Fritz Kiersch,"['Peter Horton, ', 'Linda Hamilton, ', 'R.G. Armstrong, ', 'John Franklin', '']",47882,$14.57M
Friday the 13th Part III,1982),R,95," Horror, Thriller            ",5.7,0,Steve Miner,"['Dana Kimmell, ', 'Tracie Savage, ', 'Richard Brooker, ', 'Terry Ballard', '']",48036,$36.69M
I Spit on Your Grave,1978),R,101," Horror, Thriller            ",5.7,0,Meir Zarchi,"['Camille Keaton, ', 'Eron Tabor, ', 'Richard Pace, ', 'Anthony Nichols', '']",26110,0
Ma,2019),R,99," Horror, Mystery, Thriller            ",5.6,0,Tate Taylor,"['Octavia Spencer, ', 'Diana Silvers, ', 'Juliette Lewis, ', 'McKaley Miller', '']",41268,$45.37M
The Meg,2018),PG-13,113," Action, Horror, Sci-Fi            ",5.6,0,Jon Turteltaub,"['Jason Statham, ', 'Bingbing Li, ', 'Rainn Wilson, ', 'Cliff Curtis', '']",152482,$143.01M
Curse of Chucky,2013),R,97," Horror, Thriller            ",5.6,0,Don Mancini,"['Chantal Quesnelle, ', 'Fiona Dourif, ', 'Jordan Gavaris, ', 'Danielle Bisutti', '']",34856,0
Maggie,I) (2015),PG-13,95," Drama, Horror, Sci-Fi            ",5.6,0,Henry Hobson,"['Arnold Schwarzenegger, ', 'Abigail Breslin, ', 'Joely Richardson, ', 'Laura Cayouette', '']",42194,$0.19M
